ID,SMILES,Class
652,O=C1c2cccc3cccc(c23)C(=O)N1CCNCCCCCCNCCN1C(=O)c2cccc3cccc(c23)C1=O,1
793,COc1ccc(C(=O)N2CCOCC2)cc1S(=O)(=O)N(Cc1ccc(F)cc1)Cc1ccc(C(F)(F)F)nc1,1
500,Cc1cc(Cl)cc(C)c1Oc1nc(N)nc(Nc2ccc(C#N)cc2)n1,0
53,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1ccc(-c3ccc(OC(F)(F)F)cc3)nn1)C2,1
162,O=[N+]([O-])c1cn2c(n1)OC[C@H](Oc1cc(-c3ccc(F)cc3)ncn1)C2,0
602,CCCCCOc1cc(C)c(C)cc1S(=O)(=O)NC1CCCC1,1
1164,O=C(/C=C/C=C/c1ccccc1)c1c(O)[nH]c2ccccc2c1=O,0
319,CC1(CNC(=O)Nc2ccc(OC(F)(F)F)cc2)CCn2cc([N+](=O)[O-])nc2O1,1
1174,CC1(COc2cnc(C(F)(F)F)cn2)Cn2cc([N+](=O)[O-])nc2O1,1
742,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1ccc(-c3ccc(OC(F)(F)F)cc3)cn1)C2,1
1019,Cc1cc(C)c(Oc2nc(NCCNc3nc(Nc4cccc(C#N)c4)nc(Oc4c(C)cc(C)cc4C)n3)nc(Nc3cccc(C#N)c3)n2)c(C)c1,0
702,O=S(=O)(c1ccccc1OC(F)(F)F)N(Cc1ccccc1)Cc1ccccc1,1
1094,CC1(COc2ccc(N3CCC(Oc4ccc(OC(F)(F)F)cc4)CC3)cc2)Cn2cc([N+](=O)[O-])nc2O1,0
903,Cc1ccc(Oc2nc(N)nc(Nc3ccc(C#N)cc3)n2)cc1,0
1318,CC(=O)Oc1cc(C)ccc1C(C)C,0
332,Cn1nc(OCc2ccccc2)c2cc([N+](=O)[O-])ccc21,0
1646,Nc1ncc2ccn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,0
1201,Nc1ccc2cc3ccc(N)cc3nc2c1,1
1215,CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2c[nH]c3ccccc23)n2c1nc1ccc(Br)cc1c2=O,1
1245,O=C(O)/C=C\C(=O)Nc1ccc([Se][Se]c2ccc(NC(=O)/C=C\C(=O)O)cc2)cc1,0
360,COc1cc(S(=O)(=O)N(Cc2ccccc2)Cc2ccccc2)c(OC)cc1C,1
756,COc1cc(-c2nn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c3ncnc(N)c23)ccc1Cl,0
544,Nc1cc(C2CCCN(C(=O)c3cc(C(F)(F)F)no3)C2)[nH]n1,0
1305,COc1ccc([C@@H]2C[C@H](c3ccc(C)cc3)c3cccc(P(c4ccccc4)c4ccccc4)c3N2)cc1,1
1454,Cc1ncnc2c1c(-c1ccc(N)cc1)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1
251,O=C(c1ccccc1)N1CCCC(c2cc3ncccc3[nH]2)C1,0
729,O[C@@H]1Cc2ccccc2N[C@H](c2cccs2)C1,0
1133,NC(=S)N/N=C(/C=C/c1ccccc1)c1ccccc1,1
705,CN(C)c1ccc([Se][Se]c2ccc(N(C)C)cc2)cc1,1
885,N#C[C@H](Cc1ccc(N)cc1)NC(=O)OCc1ccccc1,0
538,Nc1ncnc2c1c(-c1ccc(F)c(Cl)c1)nn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0
1540,O=C(/C=C/c1ccc(Cl)s1)c1ccc(-n2ccnc2)cc1,0
476,Nc1nc(Nc2ccc(F)cc2)nc(Nc2ccc(F)cc2)n1,0
424,N#Cc1ccc2c(CNCCCCNc3ccnc4cc(Cl)ccc34)csc2c1,1
813,CC1(CN2CCN(c3ccc(F)cc3)CC2)Cn2cc([N+](=O)[O-])nc2O1,1
59,C[N+](C)(C)CCOP(=O)([O-])OCCCCC=C1CCCCCCCCC1,1
593,COc1ccc(OC)c(S(=O)(=O)N(Cc2ccc(F)cc2)Cc2ccnn2C)c1,1
1357,Cc1ncnc2c1c(-c1ccccc1N)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0
322,C=C(C(C)C)[C@H](O)C[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4[C@H](C)[C@@H](O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)CC[C@]4(O)CC3=CC[C@]12C,1
1299,Cc1ncnc2c1c(-c1ccc(Cl)c(F)c1)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1
115,O=C(Nc1ccc(OC(F)(F)F)cc1)N[C@H]1COc2nc([N+](=O)[O-])cn2C1,0
961,CCN(Cc1ccccc1)S(=O)(=O)c1cc(OC)ccc1OC,1
1188,Fc1ccc(-c2cc(-c3ccccc3)c3ncccc3n2)cc1F,1
617,O=C(c1ccc(F)cc1)N1CCC(c2cc3ncccc3[nH]2)C1,0
849,O=[N+]([O-])c1cn2c(n1)OCC(OCc1ccc(OCc3ccccc3)cc1)C2,1
1024,c1cc2nc(c1)CNCCN(CCNCc1cccc3ccccc13)CCNC2,0
306,CC(=O)O[C@@H]1C[C@]2(C)C(=CCC3[C@@]4(C)CC[C@H](O)C(C)(C)C4CC[C@]32C)C2CC(C)(C)[C@@H](OC(=O)c3ccccc3)[C@H](OC(=O)/C=C/c3ccccc3)[C@@]21C=O,0
441,O=c1[nH]cnc2c1cnn2[C@@H]1O[C@H](CO)C[C@H]1O,0
881,O=C(NC(=[Se])Nc1ccc([Se][Se]c2ccc(NC(=[Se])NC(=O)c3ccc(Cl)cc3)cc2)cc1)c1ccc(Cl)cc1,0
646,CC1(CNC(=O)COc2ccc(OC(F)(F)F)cc2)CCn2cc([N+](=O)[O-])nc2O1,1
295,C[C@]1(COc2ccc(-c3ccc(F)cc3)cc2)Cn2cc([N+](=O)[O-])nc2O1,1
1563,C=CCNc1ncnc2c1ccn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1
674,CC1(CNC(=O)c2cccc(OC(F)(F)F)c2)CCn2cc([N+](=O)[O-])nc2O1,1
132,CNC(=O)c1nn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2ncnc(N)c12,0
440,COc1ccc(C(=O)Nc2ccc3cc4ccc(NC(=O)c5ccc(OC)c(OC)c5)cc4nc3c2)cc1OC,1
596,O=c1[nH]c2c([N+](=O)[O-])cccc2cc1Br,1
1413,O=C(/C=C/c1ccc([N+](=O)[O-])o1)c1ccc(N2CCCC2)cc1,0
381,COc1ccc2ccc(=O)[nH]c2c1[N+](=O)[O-],0
177,O=C(N[C@H]1COc2nc([N+](=O)[O-])cn2C1)c1ccccc1OC(F)(F)F,0
973,C=CCc1ccc(Oc2cc(CC=C)cc(OC)c2OCOC)c(OC)c1,0
356,Clc1ccc2c(NCCCNCc3csc4ccccc34)ccnc2c1,1
1104,C[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCC=C1C2CC3CC(C2)CC1C3,1
216,CN(C)c1nccn2c(-c3cncnc3)c(-c3ccc(F)cc3)nc12,0
422,CC1(COCc2ccc(Oc3ccccc3)cc2)Cn2cc([N+](=O)[O-])nc2O1,1
146,CC(C)C(NC(=O)OCc1ccccc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)c1nc2ccccc2s1,0
1464,Cc1ncnc2c1c(-c1cc3ccccc3cn1)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0
1023,Cc1cc(C)c(Nc2nc(NCCNc3nc(Nc4ccc(C#N)cc4)nc(Oc4c(C)cc(C)cc4C)n3)nc(Nc3ccc(C#N)cc3)n2)c(C)c1,0
634,CC(=O)Nc1ccc2cccnc2c1[N+](=O)[O-],0
392,CC(C)(C)/[N+]([O-])=C/c1ccc([N+](=O)[O-])o1,1
995,C[N+]1(CCOP(=O)([O-])OCCCCCCCCCCC=C2C3CC4CC(C3)CC2C4)CCCCC1,1
206,CSc1cn2c(n1)OC(C)(COc1ccc(OC(F)(F)F)cc1)C2,0
1052,O=C(Nc1ccc(N2CCN(C(=O)c3ccco3)CC2)cc1)O[C@@H](Cn1ccnc1)c1ccc(F)cc1,0
1459,Cc1ncnc2c1c(-c1ccccc1F)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0
1575,O=C(/C=C/c1ccc([N+](=O)[O-])o1)c1ccc(-n2ccnc2)cc1,0
404,CCCc1ccc(Oc2cc(CN3CCOCC3)cc(OC)c2OCc2ccc(OC)cc2)c(OC)c1,0
13,N#C[Se]CCc1ccc([N+](=O)[O-])cc1,1
153,Nc1ncnc2c1c(CN1CCOCC1)nn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0
485,O=c1ccc2cccc([N+](=O)[O-])c2[nH]1,0
291,CC1(CNc2ccc(OC(F)(F)F)cc2)Cn2cc([N+](=O)[O-])nc2O1,1
308,Cc1cc(C)c(Nc2nc(NCCCCCCCCCCNc3nc(Nc4ccc(C#N)cc4)nc(Nc4c(C)cc(C)cc4C)n3)nc(Nc3ccc(C#N)cc3)n2)c(C)c1,0
566,Nc1ccc2cccnc2c1[N+](=O)[O-],0
300,CC1(COc2ccc(OC(F)(F)F)cc2)Cn2cc(Br)nc2O1,0
551,Cc1cc(=O)c(C(=O)NCc2ccccc2)c(O)o1,0
1007,COc1cccc2[nH]c(C(=O)N3CCCC(c4cc5ncccc5[nH]4)C3)cc12,0
1158,COc1ccccc1S(=O)(=O)N(Cc1ccccc1)Cc1ccccc1,1
738,CCCN(CCO)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],0
653,O=C1c2cccc3cccc(c23)C(=O)N1CCNCCCCNCCN1C(=O)c2cccc3cccc(c23)C1=O,1
341,COc1ccc(N2CCOCC2)cc1S(=O)(=O)N(Cc1ccc(F)cc1)Cc1ccc(F)cc1,1
333,O=C(c1cc(C(F)(F)F)[nH]n1)N1CCCC(c2cc3ncccc3[nH]2)C1,0
1177,O=[N+]([O-])c1cn2c(n1)OC(COc1ccc(C(F)(F)F)nc1)CC2,0
1217,CCN(CCC(=O)Nc1cccnc1)C(=O)c1ccc(F)cc1,0
508,O=C(NCc1ccc(OC(F)(F)F)cc1)OCC1CCn2cc([N+](=O)[O-])nc2O1,1
141,O=[N+]([O-])c1nc2n(n1)C[C@@H](OCc1cccc(OC(F)(F)F)c1)CO2,1
492,O=[N+]([O-])c1c(CS(=O)(=O)c2ccccc2)nc2c(S(=O)(=O)c3ccc(Cl)cc3)cc(Cl)cn12,1
1319,CC(C)=CCC/C(C)=C/COc1cccc(/C=C/C(=O)c2ccccc2)c1,0
1582,COc1nncc(-c2cnnc(SC)n2)n1,1
606,O=[N+]([O-])c1c(CS(=O)(=O)c2ccccc2)nc2c(Sc3ccc(Cl)cc3)cc(Cl)cn12,1
1313,NCCCCc1cn(-c2ccc(-c3nc(-c4ccc5c(c4)CCCN5)cs3)c(OCCN3CCNC3=O)c2)nn1,0
1426,O=C(c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1)N1CCN(c2ccccc2F)CC1,0
614,Nc1ncnc2c1cnn2[C@@H]1O[C@H](CO)[C@@H](F)[C@H]1O,0
165,C[N+](C)(C)[C@H]1CCCC[C@@H]1OP(=O)([O-])OCCCCC=C1CCCCCCCCCCCCCC1,1
1375,O=C(Nc1ccc2c(c1)B(O)OC2)c1cn(-c2ccccn2)nn1,1
1440,O=C(OC[C@H]1O[C@H](O[C@H]2O[C@H](COC(=O)c3cc(O)c(O)c(O)c3)[C@@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@H]2OC(=O)c2cc(O)c(O)c(O)c2)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,0
432,Nc1ncnc2c1c(Oc1ccccc1)nn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0
728,Cc1ccsc1[C@@H]1C[C@H]2Cc3cc(Cl)ccc3N1O2,0
1378,O=[N+]([O-])c1c(CSc2ccccc2)nc2c(Br)cc(Cl)cn12,0
1065,COc1ccc2nc3cc(Cl)ccc3c(NCCCN(CCCNc3c4ccc(Cl)cc4nc4ccc(OC)cc34)C(=O)C(NC(=O)OC(C)(C)C)C(C)C)c2c1,1
876,Nc1ncnc2c1c(C1CC1)nn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0
853,O=[N+]([O-])c1cn2c(n1)OCCC(OCc1ccc(OC(F)(F)F)cc1)C2,0
588,Cc1ccsc1[C@@H]1C[C@H]2Cc3cc(OC(F)(F)F)ccc3N1O2,0
1004,C[C@]1(COc2ccc(OC(F)(F)F)cc2)CCn2cc([N+](=O)[O-])nc2O1,1
1549,CN(C)c1ccc(/C=N\N2C(=O)C(C#N)=CC23c2ccccc2Nc2ccccc23)cc1,0
1424,O=C(c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1)N1CCN(c2ccccc2Cl)CC1,0
102,O=C(Nc1cc(-c2ccccn2)[nH]n1)N1CCC(c2cccc(F)c2)CC1,1
1662,Cc1ncnc2c1c(-c1cccs1)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0
442,Nc1ncnc2c1c(-c1ccc(Cl)cc1)nn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0
589,Cc1ccc([C@@H]2C[C@H]3Cc4ccccc4N2O3)o1,0
