ID,SMILES,M-fortuitum,M-kansasii,M-bovis,M-tuberculosis-MABA,M-tuberculosis-LORA,M-smegmatis,M-abcessus,M-tuberculosis-BACTEC,task_concatenada
8834,C=CCn1c(Cc2csc3nc(-c4ccc(Br)cc4)cn23)n[nH]c1=S,,,,0.0,,,,,
11659,CCOC(=O)c1cc(-c2cccc(OCc3cccc(OC)c3)c2)on1,,,,1.0,0.0,,,,
9199,COc1cccc(C=NNc2ccnc3cc(Cl)ccc23)c1,,,,0.0,,,,,
4129,Fc1ccc(Cc2n[nH]c(-c3ccnc(Nc4ccc(OCCN5CCOCC5)cc4)n3)n2)cc1,,,,1.0,,,,,
14885,CC(C)c1ccc(-c2cc(-c3ccc(Nc4ccnc5cc(Cl)ccc45)cc3)nc(N)n2)cc1,,,,,,,,,0.0
1207,CCCCCCCCn1cc(CN2CCC3(CC2)CNC(=O)O3)c2ccc(OC)cc21,,,0.0,,,,,,
136,COc1ccc2nc(C)cc(-n3cc(CN4CCN(C(=O)c5ccc(F)cc5)CC4)nn3)c2c1,0.0,,,1.0,,1.0,,,
3510,CC(C)=Cc1c(O)c(O)c2c(c1O)CCCC2,,,,0.0,,,,,
10486,Oc1ccc(C=NNC(=S)Nc2ccc(C(F)(F)F)cc2)cc1,,,,0.0,,,,,
10933,COc1ccc(C(O)(CCN(C)C)C(c2cc3cc(Br)ccc3nc2OC)c2cccc(OC)c2OC)cn1,,,,1.0,1.0,,,,
16140,CN1CC(=Cc2ccccc2)C2=C(C1)C(c1ccccc1)NC(=S)N2,,,,,,,,,0.0
11458,Fc1ccc(C(F)(F)F)cc1-c1csc(N(Cc2ccccc2)c2cc(Cl)cc(Cl)c2)n1,,,,0.0,,,,,
84,O=C(O)c1cccc2c1Nc1ccccc1N2C(=O)CO,0.0,,,,,0.0,,,
14630,CC(=O)N1CCc2c(sc(NC(=O)c3ccc(C)cc3)c2C(N)=O)C1,,,,,,,,,0.0
926,S=c1[nH]c2ccccc2o1,,0.0,,,,,,,
8772,CON=C1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2OC)CC1N,,,,1.0,,,,,
14119,CC(=O)c1sc(NN=Cc2ccco2)nc1C,,,,,,,,,0.0
9690,Cc1c(CN2CCOCC2)cc(-c2ccc(C(F)(F)F)cc2)n1C1CCCCC1,,,,1.0,,,,,
2089,CC1(COc2ccc(-c3ccc(F)nc3)cc2)CCn2cc([N+](=O)[O-])nc2O1,,,,1.0,1.0,,,,
1399,CC1(CN2CCc3nc(N4CCOCC4)ccc3C2)Cn2cc([N+](=O)[O-])nc2O1,,,1.0,,,,,,
12708,COc1c(N2CC3CCCN(CCN4C(=O)C(=O)c5cc(F)ccc54)C3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,,,,,,1.0,,,
6039,COc1ccc(C=C2CCCCC(=Cc3ccc(OC)cc3)C2=O)cc1,,,,0.0,,,,,
1984,COc1cc(CC(C)C(C)Cc2ccc(OCCN3CCCC3)c(OC)c2)ccc1O,,,,0.0,,,,,
4519,CC(C)(C)OC(=O)NCCOC(=O)C=CC(=O)C1CCCCC1,,,,0.0,,,,,
15918,COc1cc2c(cc1OC)C1=NN(C(N)=S)C(c3ccc(F)cc3)C1C2,,,,,,,,1.0,
3100,Cc1ccc2c(Cn3cc(COc4ccc(Br)cc4)nn3)cc(=O)oc2c1,,,,0.0,,,,,
14776,CCOC(=O)C1C(C)=NC(SC)NC1c1cn(-c2ccccc2)nc1-c1ccc(C)cc1,,,,,,,,,1.0
6444,O=C1Nc2ccccc2OC1=Cc1ccccc1Cl,,,,0.0,,,,,
12804,O=C(Nc1cc(Cl)c(Cl)c(Cl)c1)c1cc(Br)cc(Br)c1O,,,,,,1.0,,,
6529,O=C(NCCc1ccccc1)Oc1ccc(Cl)cc1,,,,0.0,,0.0,,,
4706,Cc1ccc(Cn2cc(CON=Cc3ccc4c(c3)Sc3ccccc3N4C)nn2)cc1,,,,0.0,,,,,
13224,CCOc1cccc(C=CC(=O)c2c(O)cc(C)oc2=O)c1,,,,,,0.0,,,0.0
13055,Cc1cc(=O)c(C(=O)C=Cc2ccsc2)c(O)o1,,,,,,0.0,,,0.0
10544,CN1CCN(Cc2ccc(CN3c4ccccc4Sc4ccc(C(F)(F)F)cc43)cc2)CC1,,,,0.0,,,,,
2799,O=c1[nH]c2c(Cl)c(Cl)ccc2c(O)c1N=Nc1cccc(Cl)c1,,,,0.0,,,,,
9243,CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,,,,0.0,,,,,
13343,Ic1ccccc1N=NNc1ccccc1I,,,,,,0.0,,,
16468,O=C(Cn1cc(CCc2ccccc2)nn1)Nc1nc(-c2ccc3oc4ccccc4c3c2)cs1,,,,,,,,,0.0
4376,COc1cc(C(O)(CCN(C)OC)C(c2cc3cc(Br)ccc3nc2OC)c2cccc(OC)c2F)cc(OC)n1,,,,1.0,1.0,,,,
3981,O=[N+]([O-])c1cn2c(n1)OCC(OCc1ccccc1-c1ccncc1)C2,,,,1.0,0.0,,,,
9032,Cc1c(C(=O)CSCCNC(=O)c2ccc(F)cc2)[n+]([O-])c2ccccc2[n+]1[O-],,,,1.0,,,,,
